year,frac_lndu_initial_croplands,frac_lndu_initial_flooded,frac_lndu_initial_forests_mangroves,frac_lndu_initial_forests_primary,frac_lndu_initial_forests_secondary,frac_lndu_initial_grasslands,frac_lndu_initial_other,frac_lndu_initial_pastures,frac_lndu_initial_settlements,frac_lndu_initial_shrublands,frac_lndu_initial_wetlands
2072,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2073,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2074,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2075,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2076,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2077,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2078,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2079,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2080,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2081,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2082,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2083,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2084,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2085,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2086,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2087,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2088,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2089,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2090,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2091,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2092,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2093,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2094,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2095,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2096,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2097,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2098,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2099,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2100,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
